english,punjabi
a,eyy
aahna,Awhnw
aakash,AwkwS
aala,Awlw
aanchal,AWcl
aapniya,AwpxIAW
aapo,Awpo
aarav,Awrv
aarzoo,AwrzU
aastha,AwsQw
aath,A`T
aayushi,AwXUSI
abdul,Abdul
abeer,AbIr
abha,AwBw
abhay,Aby
abhijeet,AiBjIq
abhimanyu,AiBminaU
abhinandan,AiBnMdn
abhinav,AiBnv
abhiram,AiBrwm
abhishek,AiBSyk
abohar,Abohr
abrar,Abrwr
acha,A`Cw
achal,Acl
achint,AicMq
adarsh,AwdrS
adesh,AwdyS
adhiraj,AiDrwj
adithi,AidQI
aditya,AwidiqAw
advait,AdvYq
advik,Awdiv`k
agam,Agm
aggarwal,Agrvwl
ahalya,AihilAw
ahana,Ahwnw
ahisas,Aihsws
ahuja,Ahujw
aiman,AYmwn
ainesh,AYnyS
aisha,AwieSw
aishwarya,AYSvirAw
aitvar,Ayqvwr
ajay,AjY
ajeet,AjIq
ajit,AjIq
ajj,A`j
ajmer,Ajmyr
akaash,AkwS
akanksha,AkWkSw
akhil,AiKl
akhlaspur,AKlwspur
akhtar,A`Kqr
akshat,AkSq
akshay,AkSy
akshita,AkiSqw
alisha,AlISw
alka,Alkw
allowal,Awlovwl
aman,Amn
amar,Amr
amarjeet,AmrjIq
amarjit,AmrjIq
amarjot,Amrjoq
ambala,AMbwlw
ambar,Ambr
ambika,AMibkw
amisha,AmISw
amla,Amlw
amnesh,AmnyS
amolak,Amlok
amreek,AmrIk
amrik,AmrIk
amrinder,AmirMdr
amrit,AimRq
amrita,AimRqw
amritha,AimRQw
amritsar,AimRqsr
anamika,Anwimkw
anand,AwnMd
ananta,AnMqw
ang,AMg
angad,AMgd
anil,Ainl
anita,AnIqw
anjali,AMjlI
ankita,AMikqw
ankur,AMkur
anmol,Anmol
anmolpreet,AnmolpRIq
anokhi,AnoKI
anoop,AnUp
anshul,AMSul
anshuman,AMSumwn
antim,AMiqm
anubhav,AnuBv
anuj,Anuj
anup,AnUp
anupam,Anupm
anusaar,Anuswr
anveer,AnvIr
aparna,Aprnw
apoorva,ApUrvw
apreet,ApRIq
april,ApRYl
arandeep,ArndIp
archana,Arcnw
ardaas,Ardws
arjun,Arjun
armaan,Armwn
arnav,Arnv
arora,AroVw
arpit,Arip`q
arsh,ArS
arshdeep,ArSdIp
arshpreet,ArSpRIq
arth,ArQ
arun,Arun
arundeep,ArundIp
arvind,ArivMd
asha,AwSw
ashima,AiSmw
ashish,ASIS
ashlesha,ASlySw
ashmeet,ASmIq
ashok,Asok
ashwani,ASvnI
asmeet,AsmIq
assi,A`sI
astha,AwsQw
atalpreet,AtlpRIq
atam,Awqm
athaasi,ATwsI
athahath,ATwhT
athai,ATweI
athanve,AT`nvy
atharan,ATwrW
athatar,AT`qr
athati,AT`qI
athtali,ATqwlI
athvanja,ATvMjw
atinder,AiqMdr
atul,Aqul
august,Agsq
aujla,Aojlw
aukhe,AOKy
avneet,AvnIq
avtaar,Avqwr
avtar,Avqwr
ayushi,AXUSI
azad,Azwd
b,bI
babbar,b`br
babu,bwbU
babu,bwbU
badal,bwdl
baddal,b`dl
badesh,bdyS
badmash,b`dmwS
bagicha,bgIcw
bahar,bwhr
bahatar,bh`qr
bahth,bwhT
bahurian,bhuVIAW
bai,bweI
bains,bYNs
bajaar,bjwr
bajwa,bwjvw
bakshish,bkSIS
bal,bl
bala,bwlw
balagan,blwgn
balbir,blbIr
baldev,bldyv
baljeet,bljIq
baljinder,blijMdr
baljit,bljIq
balkar,blkwr
balmeet,blmIq
balpreet,blpRIq
balraj,blrwj
balwinder,blivMdr
bana,bnHw
bangar,bMgr
bansal,bMsl
bansali,bMswlI
banve,b`nvy
banwait,bxvYq
barahan,bwrW
bare,bwry
bari,bwrI
barinder,birMdr
barkha,brKw
barnala,brnwlw
barnala,brnwlw
basant,bsMq
basant,bsMq
bassi,b`sI
batala,btwlw
bathinda,biTMfw
batra,b`qrw
battakh,b`qK
batti,b`qI
bavanja,bvMjw
bavleen,bvlIn
bawa,bwvw
bazaar,bzwr
bazurg,bzurg
beant,byAMq
beas,ibAws
bedi,bydI
behl,byhl
bet,byt
bhagat,Bgq
bhagwant,BgvMq
bhaini,bYxI
bhajan,Bjn
bhajan,Bjn
bhandari,BMfwrI
bhangra,BMgVw
bharath,BrQ
bharo,Bwro
bharti,BwrqI
bhatia,BwtIAw
bhatta,B`qw
bhattal,B`tl
bhatte,B`ty
bhatti,B`tI
bhavna,BwvMnw
bhavneet,BvnIq
bhawana,BwvMnw
bhawar,Bvr
bhikhari,iBKwrI
bhinder,iBMdr
bhogal,Bogl
bhola,Bolw
bhullar,Bu`lr
bhupesh,BupyS
bhupinder,BuipMdr
bhuriyan,BuirAW
bhushan,BUSx
biali,ibAwlI
bianca,ibAWkw
biasi,ibAwsI
biba,bIbw
bibi,bIbI
bijay,ibjY
bikram,ibkRm
bikramjit,ibkRmjIq
bilaspur,iblwspur
bimla,ibmlw
bindra,ibMdrw
bindu,ibMdU
birbal,ibrbl
birdi,ibrVI
bishan,ibSn
bishav,iBSv
brahm,bRhm
brar,brwV
brij,ibrj
brijet,ibRjyq
budh,buD
budha,bu`Fw
budha,bu`Fw
budhvar,bu`Dvwr
bulb,blb
bulbul,bulbul
bus,b`s
c,sI
chae,Cy
chahal,cwhl
chahatar,ch`qr
chainani,cYnwnI
chaitanya,cYqMinAw
chak,c`k
chakkar,c`kr
chakki,c`kI
chakwal,ckvwl
chali,cwlI
chaman,cmn
chameli,cmylI
chamkaur,cmkOr
chander,cMdye
chandigarh,cMfIgVH
chandni,cWdnI
chandok,cMdok
changi,cMgI
chanpreet,cnpRIq
char,cwr
charan,crn
charandeep,crndIp
charanjeet,crnjIq
charanjit,crnjIq
charanjot,crnjoq
charanpreet,crnpRIq
charanve,cr`nvy
charleen,cwrlIn
charvanja,crvMjw
chatrath,cqrQ
chaubi,cObI
chaudan,cOdW
chaudhary,cODrI
chauhanth,cONhT
chaunti,cONqI
chaurasi,cOrwsI
chauthi,cOQI
chawla,cwvlw
cheema,cImw
cheena,cInw
cheta,cyqw
chetan,cyqn
chhabi,C`bI
chhabi,C`bI
chhapanja,CpMjw
chhati,C`qI
chhavi,CvI
chhaya,CwXw
chhaya,CwXw
chhina,Cinw
chhokar,Cokr
chiahath,iCAwhT
chiali,iCAwlI
chianve,iCA`nvy
chiasi,iCAwsI
chimni,icmnI
chirag,icrwg
chiranjeet,icrnjIq
chiranjeev,icrnjIv
chit,ic`q
chitta,ic`tw
chodhary,cODrI
chorian,CoirAW
chotepur,Cotypur
choudhary,cODrI
chugh,cu`G
chup,cu`p
chutali,cuqwlI
d,fI
dabba,f`bw
dadra,dwdrw
daisy,fyzI
dakoha,dkohw
daler,dlyr
dalip,dlIp
dalvir,dlvIr
daman,dmn
damanjot,dmnjoq
damanpreet,dmnpRIq
daminder,dimMdr
dangar,fMgr
darapur,dwrwpur
daroga,drogw
darshan,drSn
darshpreet,drSpRIq
das,ds
dasuya,dsUhw
davinder,divMdr
debo,fybo
deccan,fykn
december,dsMbr
deep,dIp
deepak,dIpk
deepali,dIpwlI
deepewal,dIpyvwl
deepika,dIipkw
deepinder,dIipMdr
dehriwal,fyhrIvwl
deluana,fylUAwxw
deol,idEl
dera,fyrw
dev,dyv
devansh,dyvWS
devidaspur,dyvIdwspur
dewan,dIvwn
dhaba,Fwbw
dhakka,D`kw
dhakkana,F`kxw
dhall,F`l
dhami,DwmI
dhan,DMn
dhanda,DMdw
dhandal,DMdl
dhanoa,DnoAw
dhansu,DnsU
dharamveer,DrmvIr
dhariwal,DwrIvwl
dhariwal,DwrIvwl
dharma,Drmw
dharmendra,DrimMdr
dharmpal,Drmpwl
dhassi,D`sI
dhawan,Dvn
dheeraj,DIrj
dhesi,FysI
dhesian,FysIAW
dhillon,iF`loN
dhingra,iFMgrw
dhir,DIr
dhody,DoFI
dholi,FolI
dhriti,iDRqI
dhundla,DuMdlw
dhuri,DUrI
di,dI
di,dI
dileep,idlIp
dilkash,idlkS
dilpreet,idlpRIq
dilraj,idlrwj
din,idn
dinesh,idnyS
ditta,id`qw
divya,idvXw
divyanshu,idvXWsu
do,do
doctor,fwktr
doel,doiel
dolly,folI
dosanjh,dosWJ
duala,duAwlw
duggal,du`gl
dugri,dugrI
e,eI
eeman,eImwn
ekam,eykm
ekjot,eykjoq
ekpreet,eykpRIq
ekta,eykqw
f,AYP
faizaullapur,PYzu`lwpur
faqiran,PkIrW
faridkot,PrIdkot
farzana,Przwnw
fateh,Piqh
fateh,Pqyh
fatehgarh,PiqhgVH
february,PrvrI
ferozepur,iProzpur
g,jI
gagan,ggn
gagandeep,ggndIp
gaganjot,ggnjoq
gaganpreet,ggnpRIq
gagneja,ggnyjw
gahlarian,gwhlwrIAW
gall,g`l
gallbat,g`lbwq
gandhi,gWDI
ganesh,gxyS
garcha,grcw
garg,grg
garry,gYrI
gaurav,gOrv
gauri,gOrI
gautam,gOqm
gaye,gey
geeta,gIqw
